行业,行业细分,公司,涨跌幅,市值
基础材料,金属与开采,云铝股份,4.44,33784631000.0
医疗保健,医疗机构和服务,益丰药房,-0.25,33767596000.0
基础材料,化工,金发科技,0.61,33765925000.0
基础材料,钢铁和焦煤,鞍钢股份,2.22,33624207000.0
非周期性消费,农副加工食品,正邦科技,-2.47,33603786000.0
科技,软件,寒武纪,0.66,33508375000.0
基础材料,化工,华宝股份,-2.59,33497713000.0
医疗保健,医疗诊断和研究,安图生物,-2.63,33446832000.0
科技,半导体,N安路,1.47,33428355000.0
金融服务,资本市场,国元证券,1.73,33339263000.0
能源,其他能源,潞安环能,1.93,33204642000.0
科技,硬件,环旭电子,4.17,33144634000.0
周期性消费,服饰加工,鄂资Ｂ股,2.82,33024484000.0
周期性消费,零售,居然之家,1.01,32841056000.0
工业,交通运输,东航物流,3.06,32656018000.0
医疗保健,生物科技,成大生物,0.41,32653845000.0
工业,工业制品,美畅股份,0.04,32644816000.0
公用事业,公共事业 - 独立发电商,节能风电,-0.91,32584838000.0
金融服务,多元化金融服务,越秀金控,1.86,32555615000.0
医疗保健,医疗器械,东富龙,-1.92,32497592000.0
基础材料,金属与开采,厦门钨业,1.78,32482716000.0
科技,半导体,东方日升,20.0,32448958000.0
公用事业,公共事业 - 管制,华电国际,-0.84,32396472000.0
金融服务,资本市场,国金证券,1.71,32360645000.0
基础材料,建筑材料,华新Ｂ股,3.49,32323242000.0
房地产,房地产,*ST基础,0.36,32315790000.0
周期性消费,汽车和配件,力帆科技,-0.42,32265000000.0
科技,半导体,中信博,8.95,32232427000.0
工业,交通运输,辽港股份,0.0,32215956000.0
金融服务,资本市场,西南证券,2.11,32162328000.0
基础材料,林业,太阳纸业,0.67,32109609000.0
医疗保健,医疗器械,信立泰,1.23,32073272000.0
医疗保健,医疗机构和服务,卫宁健康,6.04,32063811000.0
周期性消费,包装和容器,双星新材,6.17,32052029000.0
通信服务,传媒,万达电影,0.0,32010905000.0
基础材料,化工,昊华科技,-1.64,31915654000.0
周期性消费,汽车和配件,道通科技,2.99,31891500000.0
能源,石油与天然气,石化油服,0.95,31881837000.0
科技,半导体,长川科技,1.44,31836037000.0
金融服务,银行,长沙银行,0.51,31810490000.0
基础材料,金属与开采,西藏珠峰,8.34,29263867000.0
基础材料,化工,融捷股份,-0.57,31548107000.0
基础材料,金属与开采,西部矿业,2.73,31384110000.0
医疗保健,医药制造,百克生物,0.01,31380021000.0
工业,航空航天和国防,中国卫星,-0.49,31371437000.0
工业,工业制品,特锐德,-0.56,31325392000.0
工业,交通运输,*ST海航B,-0.53,31274666000.0
科技,硬件,东阳光,0.0,31254115000.0
周期性消费,汽车和配件,江淮汽车,10.03,31163917000.0
周期性消费,家具制造,老板电器,2.47,31109008000.0
医疗保健,医药制造,华海药业,-3.25,31058356000.0
公用事业,公共事业 - 独立发电商,南网能源,-0.37,30984848000.0
基础材料,金属与开采,宝钛股份,-0.09,30931318000.0
工业,交通运输,吉祥航空,0.7,30907786000.0
周期性消费,汽车和配件,科博达,1.74,30895722000.0
科技,硬件,深天马Ａ,0.81,30771001000.0
周期性消费,服饰加工,雅戈尔,0.91,30736580000.0
科技,硬件,顺络电子,5.5,30640097000.0
非周期性消费,农副加工食品,隆平高科,0.09,30580050000.0
基础材料,化工,长信科技,-1.89,30562975000.0
周期性消费,汽车和配件,八方股份,10.0,30463747000.0
医疗保健,医疗机构和服务,美年健康,1.3,30452896000.0
工业,建筑,伟星新材,3.59,30345674000.0
周期性消费,汽车和配件,均胜电子,0.27,30330436000.0
工业,工业制品,金力永磁,-2.68,30285314000.0
科技,半导体,恒玄科技,1.25,30279600000.0
医疗保健,医疗器械,英科医疗,0.09,30275447000.0
基础材料,化工,圣泉集团,2.85,30231791000.0
科技,半导体,新洁能,5.14,30214677000.0
基础材料,化工,和邦生物,-0.58,30202876000.0
